time,B0001,B0002,B0003,B0004,B0005,B0006,B0007,B0008,B0009,B0010,B0011,B0012,B0013,B0014,B0015,B0016,B0017,B0018,B0019,B0020,B0021,B0022,B0023,B0024,B0025,B0026,B0027,B0028,B0029,B0030,B0031,B0032,B0033,B0034,B0035,B0036,B0037,B0038,B0039,B0040,B0041,B0042,B0043,B0044,B0045,B0046,B0047,B0048,B0049,B0050,B0051,B0052,B0053,B0054,B0055,B0056,B0057,B0058,B0059,B0060,B0061,B0062,B0063,B0064,B0065,B0066,B0067,B0068,B0069,B0070,B0071,B0072,B0073,B0074,B0075,B0076,B0077,B0078,B0079,B0080,B0081,B0082,B0083,B0084,B0085,B0086,B0087,B0088,B0089,B0090,B0091,B0092,B0093,B0094,B0095,B0096,B0097,B0098,B0099,B0100,B0101,B0102,B0103,B0104,B0105,B0106,B0107,B0108,B0109,B0110,B0111,B0112,B0113,B0114,B0115,B0116,B0117,B0118,B0119,B0120,B0121,B0122,B0123,B0124,B0125,B0126,B0127,B0128,B0129,B0130,B0131,B0132,B0133,B0134,B0135,B0136,B0137,B0138,B0139,B0140,B0141,B0142,B0143,B0144,B0145,B0146,B0147,B0148,B0149,B0150,B0151,B0152,B0153,B0154,B0155,B0156,B0157,B0158,B0159,B0160,B0161,B0162,B0163,B0164,B0166,B0167,B0168,B0169,B0170,B0171,B0172
2018-01-01,12230.721,7949.3433,102977.37,37524.22,161038.75,112347.85,88810.86,66419.13,113945.92,68710.81,46021.688,1204921.0,191982.17,72783.88,18412.771,64648.715,167639.48,111045.65,119132.66,949708.25,57144.426,37623.184,22811.64,95168.4,69380.67,134395.72,23737.818,109081.445,120123.98,74129.336,14830.647,35642.848,47563.348,24204.32,93843.86,38437.652,33021.86,16315.817,9206.144,3587.316,26577.049,15286.173,8579.831,15483.194,16494.111,25061.47,13191.705,9614.116,68459.67,41054.277,14705.898,886368.9,61345.89,46553.12,35241.367,59152.203,86121.41,43957.684,150332.73,156609.55,67519.61,37433.016,18807.896,21399.018,26780.82,29455.365,103954.055,9594.487,146346.0,549717.5,25097.02,30143.418,23867.896,6337.59,17175.938,29168.74,13119.614,23977.428,36349.695,55594.176,74528.11,37057.402,15035.946,68160.305,62520.89,54436.92,26015.426,135706.1,48772.457,59245.008,28767.54,45232.344,20296.752,29795.418,51469.14,74939.53,75162.945,80056.32,242612.36,31709.312,52275.246,22329.898,13594.95,17741.955,6607.2114,9807.2,17175.938,21971.904,8850.427,9879.269,13400.899,13907.817,26725.703,22485.45,28769.662,54154.816,24040.941,268309.62,42533.74,38193.43,47696.523,106707.09,71483.78,235828.1,77648.68,28392.316,5176.4307,44732.13,28753.34,29526.943,463946.03,4167.108,42475.69,7561.749,8713.866,19022.785,7609.2544,4132.7495,18909.863,4698.9253,14723.823,88687.36,52264.457,11802.038,9535.159,48751.676,20942.475,16289.93,323827.75,81383.95,262856.1,61137.227,33795.707,33303.79,11744.213,14574.701,35841.227,51416.88,28991.355,8300.01,4549.583,25726.49,11860.925,4724.2314,5469.3613,340269.5,106421.625,171545.08,234622.45,137006.19,106319.41
2018-01-02,7131.4785,5450.011,97463.82,37983.24,184457.31,108517.89,73469.875,63392.5,90151.9,79380.0,37624.004,1183666.0,338864.9,57189.465,16295.64,49607.54,125655.375,72154.375,111421.7,967521.6,53143.21,35627.586,18804.803,88769.92,56786.242,105976.664,20166.113,85239.96,72587.91,64705.56,12640.616,28120.738,41234.523,19049.918,67034.94,28799.79,26002.252,15339.376,7923.787,4903.0225,20916.242,15272.208,3939.7244,14908.554,15556.183,21063.06,13815.74,8173.043,60125.52,32518.691,12455.741,912341.6,60319.2,37311.543,31321.834,76759.07,41737.355,33544.34,121579.73,166363.95,54918.85,21910.258,31913.928,23297.707,8783.105,23887.404,112662.93,6890.411,143680.39,472926.6,21840.703,25954.799,19887.207,9306.782,14140.863,15607.719,11916.481,18450.09,41450.2,38051.82,48726.83,29989.477,12946.703,53707.12,60146.992,52553.016,20338.941,114887.01,36745.234,45689.01,20312.441,38370.957,17463.281,8834.244,49168.855,64349.98,57850.27,58504.33,293296.8,24476.154,42165.977,10445.625,11830.403,14776.132,5177.942,4425.8037,15594.995,17043.477,7875.0137,7673.8345,11477.184,12271.892,22279.053,21558.576,22697.443,34601.168,19236.83,68082.38,30491.42,22264.041,37061.55,90271.72,62014.453,162758.42,57218.695,15833.965,3181.3198,20524.104,19408.99,31088.678,466508.44,2635.0469,41724.59,5943.139,7774.6973,11095.494,5785.2334,2771.9321,11786.939,3044.4185,10106.186,83548.945,28907.207,9022.132,3069.2036,43601.45,21811.234,14965.238,332357.78,65546.47,181471.0,40261.926,20705.332,27761.816,6788.0835,6384.364,24091.219,40042.508,27379.682,6123.656,2527.297,8376.719,5686.8037,0.0,2056.9685,248288.16,81123.84,139335.67,171423.92,92473.516,209670.08
2018-01-03,9938.054,6578.426,89706.58,39181.957,185980.77,107101.15,73088.04,70906.805,87838.74,86811.87,38067.1,1184505.6,187039.47,55740.28,15856.131,58351.848,136534.05,70327.35,116481.45,941135.4,53857.06,35461.324,18941.371,86565.23,61267.133,109849.35,18744.629,84218.86,72944.51,65522.934,12679.744,25123.227,40212.152,19713.002,75643.4,29131.027,26678.682,16111.112,7994.761,2192.1506,21566.492,14750.281,4076.2888,15743.794,14639.95,20194.34,13455.385,8244.021,58631.438,32598.21,12697.771,913171.06,60602.59,32857.2,73032.94,87373.33,51284.13,35551.535,116474.664,97256.58,53460.08,20796.307,27001.678,42054.094,8637.408,24023.973,107884.0,7625.7314,159138.97,467660.25,21742.248,32524.354,20587.42,10854.215,15467.979,17026.498,12112.131,17722.525,33937.215,38075.79,49289.76,31223.559,13083.268,55249.242,63515.79,53969.01,19875.473,111476.086,29725.225,46728.957,13029.117,40903.707,17928.209,9271.258,51715.61,63292.402,66756.42,77170.31,156501.84,23420.613,43805.336,10610.996,11989.504,14115.329,5151.4814,6103.1455,13342.58,17880.494,8312.861,8932.201,11323.238,12245.43,22252.594,20770.621,23285.67,38366.805,18972.059,256801.53,33752.84,22181.883,37611.473,90925.945,57398.78,193148.67,60895.12,15563.397,4162.052,21091.865,20510.895,31604.803,466497.1,5619.052,39590.926,6784.355,7955.699,10590.671,5923.112,2799.1091,11923.508,2843.9373,12355.93,77260.31,29714.152,8794.973,3192.2576,0.0,20389.518,17294.56,338144.47,69917.04,191468.36,36993.574,22815.041,40935.89,7916.372,8207.968,24826.254,45641.094,21272.414,6030.2827,1406.7457,12612.568,7118.152,1151.7997,936.41705,277228.2,80412.5,155977.81,188540.72,95893.336,180134.47
2018-01-04,9302.031,5762.228,110782.75,38634.516,172954.36,106498.38,70533.62,61829.77,86539.414,80192.99,31814.965,1176226.1,143711.69,62269.41,16740.688,54617.426,130927.91,69403.96,109100.82,980851.25,52982.242,34897.17,19216.39,118118.97,57334.5,115455.2,18752.178,88103.91,77801.54,57961.188,13050.271,29590.117,44246.484,19829.305,59056.617,30220.326,27174.977,16283.644,8069.858,6146.722,22009.498,14967.066,4222.2456,15849.61,12668.984,21523.92,13961.813,8416.553,52306.117,33351.375,13219.751,924122.0,62725.91,37659.133,32128.912,130486.68,52761.78,33124.207,142874.75,147273.47,56790.992,26367.29,29645.707,26122.89,8258.751,25013.244,75358.28,8679.229,184165.03,474750.1,20939.193,25604.83,20431.828,12507.592,16575.111,15899.112,12571.748,19378.79,47019.68,53335.14,57660.844,37899.15,13257.23,50363.42,66936.055,52116.39,22440.34,119119.5,32144.773,48791.0,14116.451,38528.96,18602.016,23055.354,51115.12,58113.19,68760.71,56107.22,180683.61,22900.902,44724.28,10043.627,9402.071,15181.417,5788.242,4239.4863,13702.436,17505.678,8732.438,8755.805,12187.262,13252.008,23161.842,20179.92,22384.594,42601.14,20283.07,202179.2,36056.906,21189.521,37917.082,93345.12,65514.223,209513.06,69051.2,17768.398,3822.643,22839.562,18648.59,62229.246,466460.84,3878.746,42961.19,7308.5376,8595.125,11660.536,7030.245,4023.2234,11525.762,4023.2234,12250.08,78311.55,37428.074,9301.047,3240.506,16847.258,13901.708,15673.128,394365.0,71755.67,196369.61,46461.504,21715.008,40969.15,9247.871,14180.147,24448.025,47225.574,17428.809,7367.355,3432.2048,9557.544,7618.1206,2940.7878,3223.8318,270151.22,83061.91,149505.98,187971.6,126459.23,166345.81
2018-01-05,9560.886,7317.224,76632.445,43174.934,215054.28,113796.04,75937.516,69630.914,105646.01,88045.625,37793.645,901092.1,196883.83,71020.445,18923.781,50018.117,162901.02,71802.44,118751.84,1033036.56,61419.414,42065.62,21399.55,79301.91,72098.82,119190.61,23000.197,104472.12,87289.11,65073.16,15402.334,31986.041,49479.996,22239.104,66558.34,34852.61,31692.713,18076.959,9845.613,3793.8364,24484.715,17801.47,5050.4907,17554.354,18025.404,23707.08,15755.125,9931.439,55474.105,39496.844,14782.287,941001.8,64251.93,44213.438,33229.79,75980.75,57467.863,30104.88,154347.72,106923.68,61337.65,25616.938,27216.203,26261.021,15426.716,26030.23,114600.61,9765.902,120299.33,466475.12,24247.844,29191.176,23178.36,14269.705,15383.562,17514.553,14576.237,22215.455,42967.504,44790.977,63436.47,23545.04,14823.598,58145.85,62430.824,56529.953,26058.197,145175.34,41801.477,60306.56,14322.663,48008.027,20298.057,20122.207,51347.242,69543.8,67611.96,61187.117,136841.19,27771.865,50156.684,13604.941,14402.739,17325.38,6608.932,5783.178,16007.097,19786.52,9049.559,9206.834,12909.646,12958.797,23170.35,17738.236,25145.977,47572.754,21919.62,93465.805,41840.176,23046.637,42438.164,108272.73,36902.52,231099.72,80151.33,18781.898,6003.9414,24956.498,22694.828,31118.533,470517.53,4946.2817,46988.797,7787.837,8456.936,13163.483,7479.804,4256.5615,11194.617,4301.389,14029.125,102106.42,41360.44,11402.915,6245.781,15829.688,22091.922,17784.283,271039.66,85305.04,235518.8,50081.777,17507.252,39658.188,10957.979,11646.415,28961.053,43335.336,30139.207,7654.7993,2938.1848,23614.58,10154.815,3435.3389,3831.4167,302693.75,110777.42,185221.47,268676.53,130195.38,174593.39
2018-01-06,17122.639,8273.236,95983.305,52064.82,204659.19,119461.02,135088.28,78420.34,123537.445,100618.836,35892.215,1669173.6,285789.94,131932.31,26687.559,83780.18,176173.03,168527.52,130864.09,1114379.6,68223.28,53242.125,25668.154,97365.336,96322.75,149326.95,28020.328,135570.42,110520.79,85322.586,20789.17,38218.89,57294.664,30914.28,129715.06,44190.586,37896.03,22580.406,10903.295,5550.93,31227.465,22107.836,11869.637,21025.643,22519.861,30127.59,18943.566,10767.971,85267.82,50474.992,19573.994,1027043.0,75314.26,61121.594,37446.293,144184.47,91598.305,66748.98,206078.33,205978.19,100708.17,45207.31,41364.812,49547.59,23202.105,36226.95,141654.64,11533.024,155469.1,534086.6,29037.512,35740.32,31992.756,21738.352,16302.699,22786.361,16395.598,31441.266,77950.87,63746.08,97747.664,39416.957,18076.504,78434.79,100332.96,95902.73,35713.92,224373.8,76337.98,71515.26,33304.527,74140.445,27658.027,29202.049,73649.375,90980.695,104840.75,90300.92,179237.81,32511.982,67911.9,21730.56,23866.385,27300.613,10454.748,7412.0034,15735.006,28354.447,10063.826,10026.227,20590.96,15728.027,24351.844,26588.85,33899.32,85181.305,30687.363,205990.62,69023.4,55891.035,62829.17,140227.8,106978.64,281555.75,169945.34,51478.023,6581.233,38981.363,36636.54,78322.336,471206.1,5098.7593,62908.023,9348.438,12833.328,29300.078,8641.57,5374.414,33029.945,5161.841,21.36039,117796.336,59880.676,15687.24,11595.547,13173.412,26228.203,15087.159,81795.03,107511.1,330250.2,52663.996,35744.844,30783.914,16048.512,21409.7,47860.617,85999.01,19915.846,9552.078,3754.4426,28415.945,17721.033,10009.715,4936.1826,447555.97,132690.48,203902.48,632814.1,224984.4,104587.46
2018-01-07,7525.148,8698.194,99410.38,46593.125,179085.27,120852.73,125287.78,74049.22,100200.266,98435.414,110397.55,1293570.0,247187.06,115749.945,24465.436,76402.31,159316.67,153630.9,134007.02,987574.6,63930.113,48776.58,27939.107,81279.67,79155.836,147290.03,28511.639,111781.33,112495.695,85138.33,23110.514,35812.453,55510.395,30399.697,111257.4,40673.117,36166.7,23198.732,10105.174,5187.4585,29857.361,22827.309,12667.955,24219.031,22700.436,30873.887,20352.768,10289.215,87275.984,46344.547,20675.156,1002702.9,99275.26,62438.453,42946.242,99381.56,79243.41,56177.496,180905.56,210781.31,86900.62,38770.34,34946.566,36451.39,22347.305,36023.71,91361.34,11280.759,133945.44,522797.75,29616.691,40045.312,30728.43,23137.3,21950.898,22924.414,15924.928,27703.164,70094.52,63840.594,85230.18,36765.695,18530.762,91876.8,73804.18,75017.55,33152.44,186551.12,66857.266,79440.54,34554.332,66834.984,26644.203,29908.03,79492.88,105742.83,98301.81,125158.39,149713.6,30011.818,61222.21,23042.232,20948.99,27970.623,8117.7954,6248.695,23611.02,28076.191,9591.979,10353.395,17806.371,16085.092,24235.846,25129.775,34145.78,79424.05,31475.93,206130.8,54497.93,55064.273,65672.914,174799.75,76276.516,276848.44,85328.8,38542.785,6600.7573,44314.484,38647.914,38984.11,468637.5,4772.164,54762.867,8232.871,13153.701,30842.975,7730.32,6627.603,32158.645,6627.603,12342.596,106533.23,55946.332,14018.564,14360.445,17291.367,25787.564,23027.635,277768.2,90803.66,376409.34,88362.03,30259.65,25096.646,11974.256,17501.111,42067.49,71073.15,20732.656,8995.549,14120.563,27196.596,13431.359,7289.099,15302.302,414991.4,147125.22,191936.9,214338.0,224172.77,129147.23
2018-01-08,1151.865,5480.522,73356.086,35638.383,178837.25,103337.13,64715.51,54008.05,75776.24,85574.15,65230.977,849800.3,153984.06,56771.86,15183.155,51618.473,117313.06,66018.22,106428.945,937494.5,51342.023,34377.15,18541.516,82878.12,50503.434,109460.74,17284.334,81812.484,71995.66,60185.406,13735.548,28572.31,40814.59,18888.346,68667.93,30183.002,29029.39,14602.399,7682.7427,2198.7195,20524.09,14905.136,4169.2017,15904.312,15766.782,20939.445,13300.8545,8037.409,57399.67,33679.305,12346.429,746465.0,58527.23,36666.746,23832.299,69381.42,58557.52,31602.41,138348.62,157938.66,52624.918,20983.13,31573.373,43374.566,8911.056,25781.594,84033.55,8327.157,102788.164,481229.1,21706.146,25124.217,21997.06,15325.606,13153.495,15472.087,11967.636,18756.004,33579.832,41234.406,54854.656,29876.436,13256.978,50727.867,67287.47,52132.977,22188.805,105722.86,34009.203,52658.297,12310.268,35861.332,17406.24,6241.798,53967.59,64222.348,55556.055,56665.93,133071.73,24442.867,46256.69,10484.507,12180.123,15203.431,4769.8237,7757.667,16139.702,17171.428,7353.9736,8864.017,11214.069,11574.503,22143.424,14595.911,21978.305,49961.453,19746.865,69682.37,39134.125,23545.568,37674.258,75058.445,75287.52,195860.28,55777.0,15601.862,4153.4346,21267.578,19195.727,29087.932,477759.25,5863.588,42752.547,6353.274,9945.813,11572.246,5913.181,2613.2144,19296.902,2908.7869,9248.173,66647.734,27305.498,8688.81,3047.4663,35623.426,15022.427,16004.955,269407.44,60883.06,171153.23,46021.758,21391.215,32394.889,7996.8237,11039.004,22151.87,38353.414,14997.064,6251.6035,1327.8806,9106.402,6255.779,0.0,2108.082,217582.66,68663.25,145472.56,258361.14,91103.64,119396.44
2018-01-09,7614.1685,5450.011,81280.73,40601.29,184630.48,107510.97,71523.87,59258.68,85146.516,81385.98,34443.844,1004633.7,92430.28,62487.8,15501.1455,52542.65,126568.234,73874.695,111327.37,967521.6,54876.08,33931.652,19237.625,92125.45,58677.62,116781.13,17832.354,93523.32,76083.65,63573.355,13814.826,29005.295,43405.234,18953.98,68595.21,31619.611,28543.65,16282.413,7923.787,2055.585,21175.086,15272.208,4041.2532,15745.383,18499.209,21661.654,13639.331,8173.043,54080.727,33768.246,12121.042,850017.75,59498.125,33955.453,37300.297,76759.07,55194.766,34997.223,128870.89,116302.49,47997.97,21168.244,40401.96,41708.895,8783.105,23579.105,105556.164,7801.256,92761.16,511732.34,23670.262,25094.26,20992.041,15197.657,16275.331,15326.588,12895.145,18233.176,28067.41,38681.125,74627.48,36060.793,13129.028,53533.902,64491.465,55267.414,22177.527,118021.55,31940.33,52427.56,20640.883,39277.008,17770.979,3998.512,47303.387,59369.848,65330.18,58511.516,153788.98,25540.877,45731.19,10471.919,11852.938,15623.078,5173.531,5923.686,16275.331,16722.05,7329.247,8504.587,11555.882,11710.135,22279.053,19821.188,21693.521,41987.75,19446.533,158777.52,33070.613,21831.682,34088.773,84851.77,47538.297,195776.33,58218.164,16047.762,4358.4194,22873.498,21321.387,64377.777,481234.75,5044.5464,33252.035,6438.198,7396.6426,11095.494,5895.0127,2961.2524,13133.699,3044.4185,9404.971,65293.66,28622.182,9004.587,2919.5166,47970.047,15823.035,9397.622,27788.537,63632.777,175418.1,36740.08,36459.15,47388.75,8343.721,8844.605,23600.977,40208.02,30073.203,6123.656,1276.7671,6394.187,5614.633,0.0,2056.9685,242535.67,87563.65,151006.39,273630.7,92540.625,130249.7
2018-01-10,9734.045,6307.9946,66806.73,41356.156,175285.4,108957.68,72510.39,57967.746,93985.88,84727.484,57822.754,981489.25,161807.05,65439.65,16863.137,59476.13,128036.33,60302.605,110001.46,941135.4,55448.637,34399.598,20291.285,90373.12,60942.742,118774.64,19266.21,94003.43,97401.3,62728.156,14201.963,29947.453,42025.293,19186.486,68812.9,33740.945,29051.855,15816.589,7897.324,5039.5884,20933.752,15467.8955,4177.8184,15254.615,14448.605,21700.08,13612.869,8270.965,51995.266,33038.203,11346.659,850847.2,72293.414,38798.598,38669.855,102863.2,55803.203,39621.277,115981.48,121000.93,62304.973,20178.643,24092.078,39652.26,8637.408,23928.035,95370.414,7937.8213,117513.266,458751.88,20877.791,27963.215,21329.635,15334.223,14389.307,17054.242,12898.691,18206.666,33183.156,37981.387,58227.3,27759.969,13265.594,53657.312,67478.93,44021.17,22139.87,124491.97,34957.01,52491.965,20638.8,38119.418,18043.178,9068.416,62754.58,61372.14,68326.96,62745.027,89048.31,22900.576,45501.824,10456.373,12102.381,15756.553,5259.9473,6103.1455,16148.314,17511.408,7560.585,8967.59,11447.623,11683.672,22252.594,19298.195,22477.105,38110.137,20234.988,188441.03,30859.94,21043.668,36393.47,89911.76,86056.07,204616.11,54582.418,13912.994,4162.052,21131.055,19767.54,28275.76,472471.56,5181.1113,39831.562,5976.484,7275.411,11512.787,5921.7983,3126.4229,12662.908,2631.363,8643.643,80625.66,34473.008,9133.766,2875.8267,16460.273,19955.984,9534.1875,266978.34,76391.52,199138.72,38198.688,34310.43,35350.75,8808.421,10167.21,24826.254,42395.457,17146.52,6030.2827,156.21594,7177.7495,6857.1294,1151.7997,936.41705,261967.28,92639.31,163097.12,263871.3,92532.97,154024.22
